,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
290,110.5,306,-12.67,97.8,250,65.6,191,Pat,-.031,255,-7.17,319,106.0,310,97.8,307,290,-8.15,310,,Colgate,10-19
291,109.0,289,-12.70,96.3,272,70.7,20,Pat,+.077,25,-7.71,326,106.8,332,98.3,299,291,-8.50,311,,Navy,13-17
292,106.9,256,-12.98,93.9,295,58.9,341,MEAC,+.043,72,-2.25,224,106.6,328,96.1,329,292,-10.52,329,,Bethune Cookman,17-16
293,107.8,271,-13.06,94.7,290,62.6,297,BSth,+.006,156,+7.65,24,106.0,308,98.1,304,293,-7.86,307,,Charleston Southern,13-17
294,107.2,259,-13.09,94.1,294,62.4,303,Pat,+.016,120,-6.12,307,107.0,336,99.2,279,294,-7.81,305,,American,11-20
295,110.3,302,-13.16,97.2,259,63.6,271,AE,-.073,324,-0.45,159,103.8,208,99.6,267,295,-4.25,245,,Albany,7-25
296,105.9,238,-13.46,92.5,307,65.6,189,NEC,-.031,256,-3.94,266,106.1,314,96.8,321,296,-9.33,319,,Monmouth,12-19
297,105.7,234,-13.50,92.2,309,63.9,263,Ivy,+.039,80,-8.55,337,105.9,303,98.5,293,297,-7.33,296,,Columbia,11-17
298,111.6,325,-13.56,98.0,246,72.4,7,ind,+.011,134,-2.17,223,103.8,207,98.5,294,298,-5.26,262,,Longwood,12-19
299,111.9,330,-13.67,98.2,241,64.9,223,Sum,+.042,74,-5.30,291,105.6,293,99.4,275,299,-6.20,280,,UMKC,12-18
300,111.9,331,-13.77,98.1,243,70.5,21,SC,+.080,21,+3.89,68,103.3,182,103.3,157,300,+0.01,161,,Georgia Southern,9-23
301,108.6,283,-13.84,94.8,289,66.6,134,ASun,+.008,148,-5.34,294,104.6,242,99.3,277,301,-5.31,264,,Florida Gulf Coast,8-21
302,107.6,268,-13.86,93.8,296,67.7,82,MEAC,-.043,281,+6.22,43,104.6,245,98.3,298,302,-6.30,282,,North Carolina A&T,11-22
303,110.9,312,-13.96,96.9,262,74.1,4,Slnd,-.007,187,-0.98,178,105.4,279,100.0,258,303,-5.34,265,,Northwestern St.,10-19
304,106.3,246,-14.29,92.0,311,64.1,255,Slnd,-.091,339,-5.22,287,106.4,321,99.8,262,304,-6.64,287,,Central Arkansas,9-21
305,107.7,270,-14.41,93.3,301,70.5,22,A10,-.046,289,-1.64,204,100.2,82,104.7,107,305,+4.55,83,,Fordham,2-26
306,113.1,337,-14.45,98.7,234,67.1,113,SB,-.018,229,+1.29,121,104.1,221,101.7,200,306,-2.44,212,,FIU,7-25
307,104.3,208,-14.47,89.8,325,61.2,321,ind,+.021,111,-2.82,238,104.0,214,97.9,306,307,-6.15,278,,Savannah St.,11-15
308,111.9,332,-14.61,97.3,257,64.0,258,Ivy,-.042,279,-1.18,187,104.3,227,100.8,234,308,-3.49,234,,Penn,6-22
309,107.8,272,-15.50,92.3,308,63.4,276,NEC,-.007,190,-7.87,329,107.0,335,95.6,334,309,-11.39,335,,Central Connecticut,12-18
310,101.2,140,-15.63,85.6,341,66.3,155,SWAC,+.047,66,+9.39,9,106.6,324,93.4,343,310,-13.14,345,,Prairie View A&M,16-14
311,105.5,230,-15.76,89.8,328,63.7,267,NEC,+.046,67,-4.71,281,107.1,337,96.3,326,311,-10.78,332,,St. Francis NY,11-18
312,111.4,322,-15.81,95.6,283,62.8,292,AE,-.038,274,-5.33,293,105.3,277,99.0,281,312,-6.31,283,,Hartford,8-22
313,106.8,255,-16.14,90.7,321,66.6,139,OVC,-.044,285,-0.33,155,105.1,257,101.7,201,313,-3.40,233,,Southeast Missouri St.,7-23
314,111.9,329,-16.39,95.5,286,63.8,266,NEC,+.028,95,-0.83,166,105.8,300,97.2,314,314,-8.66,313,,St. Francis PA,11-19
